epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,101.758,0.50899,0.54871,1.08027,0.15745,0.55556,0.15108,0.08495,1.4794,10.5755,2.10302,0.0018416,0.0018416,0.0018416
18,107.507,0.49699,0.54116,1.04893,0.70871,0.66084,0.74449,0.55828,0.95556,1.92023,1.54433,0.0018317,0.0018317,0.0018317
19,113.247,0.49636,0.58934,1.02631,0.6608,0.67901,0.68989,0.45529,0.93972,2.51388,1.83091,0.0018218,0.0018218,0.0018218
20,119.001,0.46521,0.53057,1.03516,0.46801,0.75309,0.62992,0.40059,1.08306,3.80827,1.88386,0.0018119,0.0018119,0.0018119
21,124.759,0.46183,0.66842,1.05163,0.75991,0.85185,0.90746,0.77469,0.4768,1.51315,1.01748,0.001802,0.001802,0.001802
22,130.52,0.48059,0.53029,1.05205,0.73526,0.82295,0.82573,0.58316,0.62243,1.40636,1.23226,0.0017921,0.0017921,0.0017921
23,136.271,0.44896,0.47792,1.00968,0.50976,0.61619,0.57435,0.37875,1.27013,3.62454,1.76706,0.0017822,0.0017822,0.0017822
24,142.017,0.41373,0.47115,1.00771,0.93588,0.97531,0.97699,0.824,0.58541,1.03092,1.44762,0.0017723,0.0017723,0.0017723
25,147.908,0.4067,0.42794,1.00205,0.90576,0.9493,0.98213,0.91608,0.33574,0.68555,0.88777,0.0017624,0.0017624,0.0017624
26,153.811,0.41961,0.48736,1.00953,0.94345,0.96296,0.97801,0.89881,0.34192,0.52211,0.8989,0.0017525,0.0017525,0.0017525
27,159.579,0.42813,0.47224,0.99899,0.8913,0.95062,0.96181,0.86979,0.42196,0.87497,1.0084,0.0017426,0.0017426,0.0017426
28,165.342,0.42635,0.47912,1.02249,0.90896,0.98612,0.98378,0.8822,0.42349,0.58391,0.94169,0.0017327,0.0017327,0.0017327
29,171.096,0.4384,0.46456,1.00933,0.85361,0.88889,0.94913,0.85094,0.48277,0.98362,1.05926,0.0017228,0.0017228,0.0017228
30,176.844,0.42306,0.44491,0.99135,0.86831,0.95062,0.96892,0.87953,0.3829,0.71817,0.91662,0.0017129,0.0017129,0.0017129
31,182.597,0.38063,0.4152,0.99943,0.94376,0.97531,0.97517,0.92082,0.3016,0.38563,0.89847,0.001703,0.001703,0.001703
32,188.464,0.37205,0.40924,0.9991,0.9113,0.97531,0.96257,0.91841,0.28994,0.38917,0.83393,0.0016931,0.0016931,0.0016931
33,194.214,0.39703,0.4523,0.98428,0.87241,0.93827,0.95435,0.85944,0.36083,0.46177,0.90639,0.0016832,0.0016832,0.0016832
34,199.982,0.39192,0.39544,1.00375,0.96598,0.95062,0.98938,0.9413,0.32871,0.35818,0.8873,0.0016733,0.0016733,0.0016733
35,205.873,0.37505,0.42331,0.97839,0.98436,0.98765,0.98874,0.94204,0.30504,0.35496,0.87427,0.0016634,0.0016634,0.0016634
36,211.771,0.39969,0.43915,1.00568,0.83595,0.96296,0.96055,0.85374,0.59247,0.99344,1.11304,0.0016535,0.0016535,0.0016535
37,217.546,0.40035,0.44412,1.00301,0.87271,0.9311,0.96034,0.88747,0.36194,0.47589,0.87524,0.0016436,0.0016436,0.0016436
38,223.297,0.36449,0.40032,0.98181,0.82254,0.92593,0.9421,0.82552,0.35319,0.42737,0.92248,0.0016337,0.0016337,0.0016337
39,229.054,0.39966,0.4422,0.98966,0.90903,0.92593,0.96646,0.91017,0.28981,0.37759,0.84372,0.0016238,0.0016238,0.0016238
40,234.798,0.36296,0.39151,0.9619,0.88086,0.91279,0.95948,0.87384,0.28135,0.40977,0.84974,0.0016139,0.0016139,0.0016139
41,240.547,0.36637,0.35947,0.96457,0.98274,0.95062,0.98869,0.92492,0.27595,0.29066,0.83826,0.001604,0.001604,0.001604
42,246.296,0.38351,0.4331,0.98091,0.97551,0.98345,0.98893,0.94854,0.30817,0.32654,0.83277,0.0015941,0.0015941,0.0015941
43,252.17,0.35377,0.3934,0.97615,0.93503,0.92593,0.9814,0.93445,0.28991,0.35123,0.81597,0.0015842,0.0015842,0.0015842
44,257.928,0.36399,0.39013,0.99006,0.99496,0.97531,0.99141,0.95456,0.29404,0.27989,0.82653,0.0015743,0.0015743,0.0015743
45,263.84,0.3668,0.39711,0.97422,0.99864,1,0.995,0.97941,0.25277,0.24505,0.7899,0.0015644,0.0015644,0.0015644
46,269.724,0.34067,0.36283,0.96792,0.98647,0.97531,0.98772,0.96549,0.25465,0.29741,0.78704,0.0015545,0.0015545,0.0015545
47,275.467,0.34369,0.37866,0.96894,0.93957,0.9597,0.97569,0.94591,0.27236,0.33013,0.79869,0.0015446,0.0015446,0.0015446
48,281.239,0.33115,0.32531,0.9729,0.9752,0.97096,0.98988,0.95033,0.29797,0.3136,0.80863,0.0015347,0.0015347,0.0015347
49,287.003,0.33662,0.36998,0.96144,0.97242,0.97531,0.99275,0.94838,0.32897,0.41061,0.824,0.0015248,0.0015248,0.0015248
50,292.751,0.34365,0.38628,0.97903,0.98363,0.93827,0.97837,0.87994,0.38008,0.49896,0.89933,0.0015149,0.0015149,0.0015149
51,298.506,0.33396,0.34342,0.95484,0.93966,0.96133,0.98697,0.94197,0.28634,0.33347,0.80741,0.001505,0.001505,0.001505
52,304.251,0.3512,0.39479,0.98756,0.97401,0.92543,0.97756,0.91495,0.37946,0.6638,0.90026,0.0014951,0.0014951,0.0014951
53,309.997,0.33202,0.36267,0.96086,0.94343,0.93827,0.97828,0.92487,0.29951,0.52873,0.8445,0.0014852,0.0014852,0.0014852
54,315.746,0.35551,0.38712,0.95805,0.99809,0.98765,0.99118,0.96518,0.26463,0.27454,0.79117,0.0014753,0.0014753,0.0014753
55,321.504,0.39586,0.44926,0.99719,0.93901,0.95043,0.98116,0.93467,0.31485,0.33014,0.85237,0.0014654,0.0014654,0.0014654
56,327.244,0.34482,0.36227,0.98279,0.82052,0.91358,0.95129,0.87556,0.39434,0.48387,0.91192,0.0014555,0.0014555,0.0014555
57,332.993,0.34766,0.37457,0.95787,0.93022,0.98745,0.99101,0.95274,0.282,0.31319,0.80566,0.0014456,0.0014456,0.0014456
58,338.734,0.32726,0.35352,0.92988,0.92124,0.96296,0.98583,0.94485,0.26992,0.31874,0.78775,0.0014357,0.0014357,0.0014357
59,344.49,0.31919,0.35035,0.95061,0.93669,0.97531,0.98611,0.93594,0.24879,0.41921,0.79279,0.0014258,0.0014258,0.0014258
60,350.241,0.31382,0.33705,0.93591,0.96134,0.95062,0.98693,0.95262,0.23631,0.35413,0.78165,0.0014159,0.0014159,0.0014159
61,355.991,0.34713,0.35317,0.94917,0.97527,0.97372,0.98775,0.96137,0.26742,0.31234,0.81313,0.001406,0.001406,0.001406
62,361.745,0.32948,0.34187,0.95265,0.98068,0.95062,0.98592,0.94357,0.30758,0.39517,0.84235,0.0013961,0.0013961,0.0013961
63,367.504,0.30798,0.34525,0.94026,0.94104,0.98522,0.99064,0.96149,0.2583,0.31121,0.81879,0.0013862,0.0013862,0.0013862
64,373.278,0.30137,0.35417,0.94567,0.98273,0.96296,0.9926,0.97161,0.28224,0.26843,0.81013,0.0013763,0.0013763,0.0013763
65,379.044,0.28939,0.30937,0.91165,0.99739,0.97531,0.98641,0.93581,0.40112,0.53064,0.9083,0.0013664,0.0013664,0.0013664
66,384.802,0.2955,0.30962,0.92335,0.98765,0.98743,0.99188,0.96869,0.26722,0.29177,0.79995,0.0013565,0.0013565,0.0013565
67,390.562,0.32105,0.32313,0.95873,0.95077,0.98765,0.99022,0.97202,0.2405,0.34577,0.79004,0.0013466,0.0013466,0.0013466
68,396.328,0.30248,0.31884,0.92459,0.98344,0.97531,0.99318,0.96476,0.25154,0.27199,0.79393,0.0013367,0.0013367,0.0013367
69,402.071,0.30047,0.3217,0.95143,0.99677,0.98765,0.99464,0.98077,0.21595,0.1961,0.75763,0.0013268,0.0013268,0.0013268
70,407.95,0.30411,0.31574,0.95308,1,0.94842,0.98534,0.96291,0.26303,0.25037,0.80899,0.0013169,0.0013169,0.0013169
71,413.724,0.303,0.32044,0.92039,0.98272,1,0.99476,0.97414,0.21716,0.19793,0.76947,0.001307,0.001307,0.001307
72,419.476,0.32604,0.33742,0.96283,0.96425,0.99893,0.99251,0.97592,0.23376,0.22115,0.77223,0.0012971,0.0012971,0.0012971
73,425.27,0.316,0.33879,0.95248,1,0.99856,0.995,0.98549,0.19461,0.19769,0.76454,0.0012872,0.0012872,0.0012872
74,431.179,0.30262,0.33368,0.95324,0.98759,0.98226,0.99391,0.95843,0.30552,0.28419,0.8224,0.0012773,0.0012773,0.0012773
75,436.939,0.32422,0.34116,0.94421,0.98547,0.97531,0.99371,0.9631,0.26395,0.27366,0.80078,0.0012674,0.0012674,0.0012674
76,442.687,0.31612,0.34209,0.9517,0.98233,0.96296,0.99069,0.97144,0.2296,0.2957,0.78268,0.0012575,0.0012575,0.0012575
77,448.447,0.29958,0.31315,0.91589,1,0.96011,0.99199,0.97387,0.24734,0.33435,0.78545,0.0012476,0.0012476,0.0012476
78,454.23,0.30279,0.30752,0.94092,0.98591,1,0.99463,0.97584,0.25648,0.25648,0.8041,0.0012377,0.0012377,0.0012377
79,459.998,0.28441,0.30543,0.92414,0.99581,0.97531,0.9944,0.96255,0.26928,0.26956,0.82583,0.0012278,0.0012278,0.0012278
80,465.764,0.29195,0.29606,0.94054,0.97356,0.98765,0.99309,0.96595,0.34129,0.31535,0.87453,0.0012179,0.0012179,0.0012179
81,471.534,0.31196,0.31603,0.94089,0.95169,1,0.99359,0.97113,0.21244,0.22777,0.78905,0.001208,0.001208,0.001208
82,477.309,0.3035,0.30041,0.93175,0.95157,1,0.99317,0.97063,0.21028,0.20215,0.77611,0.0011981,0.0011981,0.0011981
83,483.067,0.29688,0.34219,0.93537,0.98763,0.98597,0.99452,0.97835,0.22665,0.22347,0.78253,0.0011882,0.0011882,0.0011882
84,488.809,0.30783,0.31655,0.93275,1,0.97382,0.99298,0.97745,0.21028,0.21997,0.76913,0.0011783,0.0011783,0.0011783
85,494.57,0.28343,0.27559,0.92229,0.99606,0.93827,0.99043,0.96915,0.25507,0.28369,0.77411,0.0011684,0.0011684,0.0011684
86,500.334,0.28866,0.27525,0.92698,0.94019,0.97531,0.99003,0.97473,0.19306,0.20156,0.75453,0.0011585,0.0011585,0.0011585
87,506.106,0.30342,0.32812,0.94768,0.99678,0.97531,0.9944,0.98355,0.19869,0.18826,0.75869,0.0011486,0.0011486,0.0011486
88,511.868,0.28182,0.29781,0.94918,0.99745,0.97531,0.99364,0.97252,0.24627,0.19382,0.778,0.0011387,0.0011387,0.0011387
89,517.616,0.27801,0.30252,0.92209,1,0.92409,0.98518,0.93164,0.35442,0.36625,0.86261,0.0011288,0.0011288,0.0011288
90,523.372,0.26367,0.26716,0.91158,0.94178,1,0.99223,0.95689,0.29442,0.24357,0.84418,0.0011189,0.0011189,0.0011189
91,529.14,0.27065,0.26891,0.91599,0.87478,0.94876,0.97201,0.89814,0.44318,0.4473,0.94532,0.001109,0.001109,0.001109
92,534.912,0.26346,0.2894,0.90293,0.90469,0.93753,0.9684,0.87395,0.48791,0.57728,1.09198,0.0010991,0.0010991,0.0010991
93,540.673,0.27085,0.29455,0.91272,1,0.98557,0.99464,0.97865,0.24521,0.21901,0.78081,0.0010892,0.0010892,0.0010892
94,546.451,0.26974,0.28864,0.92465,1,0.98574,0.98877,0.97347,0.1907,0.22885,0.75343,0.0010793,0.0010793,0.0010793
95,552.206,0.26665,0.31317,0.92992,0.98747,0.97286,0.98558,0.95475,0.28833,0.23851,0.82951,0.0010694,0.0010694,0.0010694
96,557.99,0.257,0.26917,0.9125,0.93872,0.98765,0.98298,0.95732,0.22819,0.23111,0.77761,0.0010595,0.0010595,0.0010595
97,563.757,0.27314,0.30425,0.9261,0.95479,0.97531,0.98364,0.95209,0.20541,0.24885,0.78054,0.0010496,0.0010496,0.0010496
98,569.534,0.2552,0.26459,0.9172,0.98408,0.96296,0.98567,0.95291,0.23952,0.25123,0.78476,0.0010397,0.0010397,0.0010397
99,575.306,0.28372,0.25872,0.92717,0.97524,0.97531,0.98428,0.96976,0.23441,0.24527,0.79792,0.0010298,0.0010298,0.0010298
100,581.06,0.26276,0.27984,0.90663,0.97403,1,0.99452,0.9769,0.2449,0.20903,0.79607,0.0010199,0.0010199,0.0010199
101,586.834,0.24875,0.26641,0.9,0.99881,0.98765,0.99488,0.97994,0.21558,0.20394,0.76935,0.00101,0.00101,0.00101
102,592.597,0.24967,0.28517,0.91552,0.98758,0.98156,0.9939,0.98952,0.20977,0.23395,0.7581,0.0010001,0.0010001,0.0010001
103,598.512,0.22817,0.24304,0.88051,0.97463,0.94855,0.98993,0.97771,0.19335,0.20167,0.74471,0.0009902,0.0009902,0.0009902
104,604.29,0.26357,0.26678,0.89929,0.99815,0.93827,0.98429,0.97056,0.1921,0.22152,0.75978,0.0009803,0.0009803,0.0009803
105,610.043,0.23611,0.24834,0.89935,1,0.97089,0.98994,0.9723,0.24436,0.20267,0.78508,0.0009704,0.0009704,0.0009704
106,615.821,0.2556,0.24353,0.90428,0.9852,0.98765,0.9896,0.97455,0.2098,0.19035,0.77003,0.0009605,0.0009605,0.0009605
107,621.588,0.23819,0.23966,0.89252,0.96857,0.97531,0.98209,0.96502,0.22352,0.22358,0.7834,0.0009506,0.0009506,0.0009506
108,627.354,0.2607,0.28601,0.90344,0.97491,0.95961,0.98373,0.96579,0.23705,0.19505,0.79031,0.0009407,0.0009407,0.0009407
109,633.111,0.24482,0.25244,0.90038,0.99394,0.96296,0.98641,0.95333,0.26747,0.22518,0.82032,0.0009308,0.0009308,0.0009308
110,638.866,0.23009,0.24357,0.89262,1,0.98558,0.98893,0.97121,0.18117,0.17558,0.77379,0.0009209,0.0009209,0.0009209
111,644.62,0.23552,0.25252,0.89818,1,0.98603,0.9886,0.98228,0.19375,0.21181,0.75477,0.000911,0.000911,0.000911
112,650.375,0.24522,0.2608,0.9015,0.98685,0.98765,0.98738,0.97056,0.24103,0.2227,0.79011,0.0009011,0.0009011,0.0009011
113,656.133,0.21609,0.23537,0.88179,0.99705,0.98765,0.9869,0.96233,0.21362,0.19648,0.77716,0.0008912,0.0008912,0.0008912
114,661.884,0.23906,0.23689,0.90444,0.99752,0.98765,0.98754,0.97146,0.21774,0.21158,0.76552,0.0008813,0.0008813,0.0008813
115,667.655,0.25702,0.25882,0.91498,0.99827,0.98765,0.98799,0.96847,0.20349,0.20914,0.75948,0.0008714,0.0008714,0.0008714
116,673.401,0.25958,0.26369,0.91288,0.98765,0.9875,0.98781,0.97348,0.17891,0.21085,0.75559,0.0008615,0.0008615,0.0008615
117,679.177,0.24157,0.23611,0.90373,0.97558,0.98635,0.9877,0.97661,0.19613,0.1948,0.75554,0.0008516,0.0008516,0.0008516
118,684.931,0.24455,0.24883,0.90568,0.96384,0.98728,0.99274,0.98165,0.17057,0.17787,0.74387,0.0008417,0.0008417,0.0008417
119,690.687,0.21291,0.24863,0.89092,0.98764,0.98614,0.9943,0.98583,0.21081,0.19952,0.76011,0.0008318,0.0008318,0.0008318
120,696.441,0.21549,0.25489,0.9087,0.98743,0.97023,0.99295,0.98282,0.18361,0.19166,0.74666,0.0008219,0.0008219,0.0008219
121,702.205,0.21746,0.22783,0.89674,0.98713,0.94677,0.99195,0.97988,0.17311,0.17206,0.7425,0.000812,0.000812,0.000812
122,707.958,0.24019,0.2676,0.92406,0.98748,0.97366,0.99225,0.98401,0.1546,0.17652,0.73988,0.0008021,0.0008021,0.0008021
123,713.731,0.2353,0.23672,0.8958,0.98733,0.96221,0.98874,0.9797,0.17561,0.19382,0.75016,0.0007922,0.0007922,0.0007922
124,719.49,0.22724,0.22303,0.89624,0.97488,0.96296,0.98515,0.97084,0.17512,0.20149,0.75379,0.0007823,0.0007823,0.0007823
125,725.282,0.21768,0.23193,0.91133,0.97529,0.97453,0.98619,0.97318,0.185,0.19516,0.74663,0.0007724,0.0007724,0.0007724
126,731.043,0.21726,0.25682,0.8975,0.98764,0.98623,0.9892,0.97697,0.22106,0.19886,0.75925,0.0007625,0.0007625,0.0007625
127,736.806,0.23207,0.24212,0.89384,1,0.98597,0.99442,0.98964,0.17893,0.16114,0.74716,0.0007526,0.0007526,0.0007526
128,742.705,0.2358,0.25001,0.91767,0.99903,0.98765,0.99442,0.98202,0.15841,0.16145,0.74191,0.0007427,0.0007427,0.0007427
129,748.477,0.22825,0.24484,0.92238,0.9741,0.98765,0.99282,0.97999,0.20423,0.18034,0.7541,0.0007328,0.0007328,0.0007328
130,754.245,0.22853,0.25002,0.90337,1,0.99962,0.995,0.99023,0.1485,0.14472,0.73356,0.0007229,0.0007229,0.0007229
131,760.133,0.21111,0.24219,0.90094,0.97527,0.97386,0.99299,0.98336,0.19542,0.18452,0.74592,0.000713,0.000713,0.000713
132,765.894,0.224,0.23619,0.91234,0.97589,0.99922,0.99378,0.98216,0.15509,0.15308,0.73207,0.0007031,0.0007031,0.0007031
133,771.661,0.22521,0.25491,0.9062,0.98759,0.9829,0.99464,0.98098,0.18523,0.17544,0.75445,0.0006932,0.0006932,0.0006932
134,777.42,0.21619,0.23435,0.8906,0.96423,0.99854,0.99391,0.98193,0.21328,0.20994,0.79589,0.0006833,0.0006833,0.0006833
135,783.181,0.23526,0.23097,0.92266,0.98764,0.98665,0.99452,0.98845,0.19215,0.17403,0.78903,0.0006734,0.0006734,0.0006734
136,788.945,0.20957,0.21339,0.88777,0.99767,1,0.995,0.99219,0.17111,0.15037,0.76542,0.0006635,0.0006635,0.0006635
137,794.838,0.21659,0.23971,0.91947,0.99746,0.98765,0.98944,0.9731,0.24849,0.20356,0.81652,0.0006536,0.0006536,0.0006536
138,800.611,0.23141,0.2401,0.92438,0.95235,0.98708,0.98606,0.94692,0.29833,0.32018,0.87428,0.0006437,0.0006437,0.0006437
139,806.366,0.20748,0.22387,0.88597,0.97176,0.97531,0.97952,0.95068,0.24119,0.2214,0.82901,0.0006338,0.0006338,0.0006338
140,812.151,0.20237,0.22114,0.88276,0.97529,0.97447,0.98711,0.96434,0.20487,0.18339,0.79457,0.0006239,0.0006239,0.0006239
141,817.925,0.22634,0.25137,0.92635,0.97496,0.98765,0.98859,0.97606,0.15663,0.16226,0.74136,0.000614,0.000614,0.000614
142,823.674,0.21649,0.22865,0.90244,0.9728,0.97531,0.98836,0.97823,0.14281,0.15179,0.73265,0.0006041,0.0006041,0.0006041
143,829.421,0.2132,0.22219,0.9038,0.96379,0.98571,0.98716,0.97567,0.1568,0.16947,0.73832,0.0005942,0.0005942,0.0005942
144,835.193,0.21357,0.22693,0.8878,0.9619,0.98765,0.98686,0.97606,0.14554,0.18279,0.73563,0.0005843,0.0005843,0.0005843
145,840.971,0.19155,0.20377,0.86582,0.94962,0.98765,0.98578,0.97133,0.16552,0.21804,0.73995,0.0005744,0.0005744,0.0005744
146,846.726,0.18019,0.1946,0.86721,0.98562,0.96296,0.98778,0.96122,0.16691,0.22469,0.7425,0.0005645,0.0005645,0.0005645
147,852.477,0.1964,0.19562,0.8849,0.97498,0.96221,0.98516,0.96339,0.16744,0.21015,0.75386,0.0005546,0.0005546,0.0005546
148,858.24,0.19653,0.20834,0.87833,1,0.96217,0.98955,0.96304,0.17832,0.19933,0.76249,0.0005447,0.0005447,0.0005447
149,864.007,0.20212,0.22267,0.88916,0.99833,0.97531,0.98974,0.97233,0.16945,0.17749,0.7669,0.0005348,0.0005348,0.0005348
150,869.782,0.19071,0.20383,0.88627,0.9756,0.98719,0.98891,0.97669,0.15583,0.17559,0.75328,0.0005249,0.0005249,0.0005249
151,875.54,0.20137,0.22626,0.90686,0.98714,0.98765,0.98925,0.9797,0.16181,0.178,0.7503,0.000515,0.000515,0.000515
152,881.292,0.20594,0.23882,0.90749,0.99909,0.98765,0.9896,0.97843,0.16937,0.17979,0.75374,0.0005051,0.0005051,0.0005051
153,887.063,0.18472,0.20044,0.88435,0.98764,0.98676,0.98913,0.97947,0.15773,0.18805,0.75128,0.0004952,0.0004952,0.0004952
154,892.819,0.20115,0.21029,0.8834,0.99962,0.98765,0.99159,0.9823,0.15786,0.16033,0.73668,0.0004853,0.0004853,0.0004853
155,898.583,0.19453,0.21332,0.88968,0.99921,0.97531,0.99464,0.98978,0.16228,0.13438,0.73191,0.0004754,0.0004754,0.0004754
156,904.347,0.19934,0.22394,0.88385,0.9869,0.98765,0.9943,0.99013,0.17398,0.14225,0.74776,0.0004655,0.0004655,0.0004655
157,910.113,0.18958,0.19926,0.89283,0.97533,0.98765,0.99386,0.98898,0.19502,0.15421,0.75206,0.0004556,0.0004556,0.0004556
158,915.868,0.20433,0.21215,0.90913,0.98778,0.99795,0.99476,0.98836,0.18642,0.13352,0.74653,0.0004457,0.0004457,0.0004457
159,921.616,0.19021,0.19444,0.88779,0.9865,0.98765,0.9934,0.98603,0.15258,0.13549,0.73517,0.0004358,0.0004358,0.0004358
160,927.364,0.18349,0.19741,0.87804,0.99982,0.98765,0.99362,0.9882,0.14253,0.13088,0.72877,0.0004259,0.0004259,0.0004259
161,933.116,0.18601,0.20749,0.87661,1,0.98663,0.99302,0.98589,0.15566,0.14898,0.73607,0.000416,0.000416,0.000416
162,938.885,0.18204,0.19954,0.89542,0.99915,0.97531,0.99398,0.98343,0.15417,0.16297,0.73336,0.0004061,0.0004061,0.0004061
163,944.644,0.20077,0.21167,0.89874,0.9978,0.98765,0.99464,0.98838,0.1625,0.16127,0.74463,0.0003962,0.0003962,0.0003962
164,950.402,0.19094,0.18843,0.88084,1,0.97341,0.99452,0.99006,0.15419,0.14483,0.75488,0.0003863,0.0003863,0.0003863
165,956.166,0.19433,0.19777,0.8996,0.99843,0.97531,0.9944,0.99246,0.16339,0.13537,0.7811,0.0003764,0.0003764,0.0003764
166,962.054,0.17998,0.1957,0.86673,0.98747,0.97267,0.99416,0.9862,0.16021,0.14197,0.79262,0.0003665,0.0003665,0.0003665
167,967.817,0.20392,0.2113,0.90142,0.97581,0.99601,0.99439,0.98499,0.15603,0.14067,0.77502,0.0003566,0.0003566,0.0003566
168,973.568,0.18763,0.17612,0.87815,0.98395,1,0.99427,0.98613,0.15712,0.13032,0.74955,0.0003467,0.0003467,0.0003467
169,979.332,0.18604,0.20243,0.88543,0.98657,1,0.99476,0.99005,0.14273,0.12189,0.72853,0.0003368,0.0003368,0.0003368
170,985.086,0.18471,0.17745,0.88612,0.98727,1,0.99463,0.98945,0.16509,0.11972,0.73814,0.0003269,0.0003269,0.0003269
171,990.843,0.18151,0.18114,0.88878,0.98673,0.98765,0.99451,0.99014,0.15072,0.12025,0.73194,0.000317,0.000317,0.000317
172,996.629,0.17127,0.16755,0.87736,0.98586,0.98765,0.99087,0.98732,0.16414,0.14892,0.7421,0.0003071,0.0003071,0.0003071
173,1002.38,0.16339,0.16971,0.87881,0.98524,0.98765,0.99111,0.98818,0.15075,0.17504,0.74225,0.0002972,0.0002972,0.0002972
174,1008.15,0.18811,0.1984,0.88682,0.98749,0.97477,0.99075,0.98713,0.15837,0.15273,0.74089,0.0002873,0.0002873,0.0002873
175,1013.91,0.16447,0.17288,0.87024,0.9875,0.97492,0.98997,0.98397,0.15408,0.14886,0.73755,0.0002774,0.0002774,0.0002774
176,1019.69,0.16392,0.16964,0.87539,0.98508,0.98765,0.99029,0.9867,0.15684,0.1574,0.73566,0.0002675,0.0002675,0.0002675
177,1025.48,0.16598,0.17436,0.86678,0.98703,0.98765,0.98986,0.98388,0.1523,0.13681,0.7367,0.0002576,0.0002576,0.0002576
178,1031.25,0.16509,0.17997,0.87083,0.98765,0.98719,0.99168,0.98625,0.1374,0.12168,0.73085,0.0002477,0.0002477,0.0002477
179,1037.01,0.17336,0.17235,0.86403,0.98765,0.98727,0.98945,0.98169,0.14259,0.13521,0.73366,0.0002378,0.0002378,0.0002378
180,1042.77,0.17336,0.18656,0.86589,0.98721,0.98765,0.98895,0.98224,0.14024,0.14167,0.73368,0.0002279,0.0002279,0.0002279
181,1048.54,0.16154,0.1745,0.88079,0.98528,0.98765,0.98837,0.9826,0.14714,0.1394,0.73362,0.000218,0.000218,0.000218
182,1054.31,0.16294,0.15911,0.87129,0.98749,0.97449,0.98782,0.98206,0.14572,0.1398,0.7343,0.0002081,0.0002081,0.0002081
183,1060.08,0.16612,0.16512,0.87967,0.98749,0.97456,0.98821,0.98355,0.14016,0.13794,0.7342,0.0001982,0.0001982,0.0001982
184,1065.87,0.16509,0.17048,0.87178,0.98764,0.98641,0.98878,0.98425,0.13952,0.12854,0.73588,0.0001883,0.0001883,0.0001883
185,1071.64,0.17512,0.18117,0.88896,0.98764,0.98644,0.98767,0.98138,0.14928,0.1448,0.74083,0.0001784,0.0001784,0.0001784
186,1077.43,0.16193,0.16584,0.86291,0.9756,0.98727,0.9873,0.9809,0.15155,0.14315,0.74288,0.0001685,0.0001685,0.0001685
187,1083.2,0.16561,0.17981,0.86201,0.99934,0.97531,0.98768,0.98508,0.14516,0.14123,0.73067,0.0001586,0.0001586,0.0001586
188,1088.96,0.16776,0.17213,0.88765,0.99898,0.97531,0.99359,0.9884,0.15098,0.13199,0.72911,0.0001487,0.0001487,0.0001487
189,1094.71,0.15597,0.16473,0.85864,0.99958,0.97531,0.9924,0.98755,0.1533,0.13265,0.7408,0.0001388,0.0001388,0.0001388
